Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C106, C107, C108",CP_Radial_D10.0mm_P5.00mm,8,560u,
D101,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
"D102, D103",LED_D5.0mm,2,LED,
F101,FUSE-MCCQ-122,1,Fuse,
J101,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Power In,
J102,PinHeader_2x03_P2.54mm_Vertical,1,E-Stops,
J201,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,V_{HV},
"J202, J203, J204",PinHeader_2x05_P2.54mm_Vertical,3,V,
J205,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,V_{SBC},
K101,G8PM1AW7RDC12,1,Relay_SPST-NO,
"R101, R102",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,2k,
"U201, U202, U203, U204",TPS5460 康威科技,4,TPS5460 康威科技,
