Designator,Mid X,Mid Y,Rotation,Layer
C101,59.0,-99.5,90.0,top
C102,70.55,-99.5,90.0,top
C103,59.0,-88.423739,90.0,top
C104,70.55,-88.423739,90.0,top
C105,59.0,-77.423739,90.0,top
C106,70.55,-77.423739,90.0,top
C107,59.0,-66.423739,90.0,top
C108,70.55,-66.423739,90.0,top
D101,60.6,-116.19,90.0,top
D102,54.6,-110.8,90.0,top
D103,54.6,-132.0,90.0,top
F101,69.5,-126.0,0.0,top
J101,69.0,-140.0,180.0,top
J102,54.8,-121.8,180.0,top
J201,125.967,-133.878,270.0,top
J202,126.492,-107.95,0.0,top
J203,126.492,-93.98,0.0,top
J204,126.492,-121.91,0.0,top
J205,126.492,-71.08,90.0,top
K101,69.5,-114.0,90.0,top
R101,54.8,-115.8,180.0,top
R102,54.76,-127.5,180.0,top
U201,109.81,-78.0,90.0,top
U202,88.54,-121.78,270.0,top
U203,88.54,-78.0,90.0,top
U204,109.81,-121.78,270.0,top
