"Reference","Value","Datasheet","Footprint","Qty","DNP","sourcing-part-num","sourcing-remarks"
"C101,C102,C103,C104,C105,C106,C107,C108","560u","~","lib:CP_Radial_D10.0mm_P5.00mm","8","","EEUFR1V561","or any 560uF 35V cap, D10mm P5mm"
"C205,C206,C207,C208","560u","~","lib:CP_Radial_D10.0mm_P5.00mm","4","DNP","EEUFR1V561",""
"D101","D","~","lib:D_DO-35_SOD27_P7.62mm_Horizontal","1","","1N4007",""
"D102","Blue LED","~","lib:LED_D5.0mm","1","","","any blue LED, 5mm"
"D103","Green LED","~","lib:LED_D5.0mm","1","","","any green LED, 5mm"
"F101","Fuse","~","lib:FUSE-MCCQ-122","1","","MCCQ-122",""
"J101","Power In","~","lib:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1","","",""
"J102","E-Stops","~","lib:PinHeader_2x03_P2.54mm_Vertical","1","","",""
"J201","V_{HV}","~","lib:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","1","","JST XH B2B",""
"J202,J203,J204","V","~","lib:PinHeader_2x05_P2.54mm_Vertical","3","","",""
"J205","V_{SBC}","~","lib:AMASS_XT30U-M_1x02_P5.0mm_Vertical","1","","",""
"K101","Relay_SPST-NO","~","lib:G8PM1AW7RDC12","1","","G8PM-1AW7RDC12",""
"R101,R102","2k","~","lib:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2","","","any 2kOhm resistor, L3.6mm"
"U201,U202,U203,U204","TPS5460 康威科技","","lib:TPS5460 康威科技","4","","TPS5460 康威科技 (taobao)",""
